# 6-DOF UR5 robot arm csv file for CoppeliaSim animation.
# All lines beginning with # are treated as a comment and ignored.
# Each line below is of the form
# jt1ang jt2ang jt3ang jt4ang jt5ang jt6ang
# where each joint angle is expressed in radians.

-1.325630,0.976862,-1.401230,0.317941,-0.025743,-2.680251
-1.318389,1.019848,-1.390019,0.380072,-0.026858,-2.743526
-1.311010,1.063895,-1.376635,0.437516,-0.029019,-2.806780
-1.303400,1.108742,-1.360671,0.490164,-0.032005,-2.870027
-1.295443,1.154101,-1.341715,0.537937,-0.035568,-2.933276
-1.286993,1.199661,-1.319361,0.580779,-0.039436,-2.996536
-1.277876,1.245085,-1.293204,0.618666,-0.043320,-3.059813
-1.267880,1.290012,-1.262848,0.651601,-0.046927,-3.123112
-1.256755,1.334061,-1.227908,0.679613,-0.049961,3.096745
-1.244201,1.376832,-1.188010,0.702762,-0.052142,3.033380
-1.229865,1.417913,-1.142795,0.721130,-0.053214,2.969972
-1.213327,1.456879,-1.091921,0.734821,-0.052960,2.906511
-1.194089,1.493305,-1.035067,0.743959,-0.051221,2.842986
-1.171566,1.526766,-0.971932,0.748680,-0.047922,2.779392
-1.145072,1.556848,-0.902249,0.749134,-0.043094,2.715725
-1.113820,1.583164,-0.825796,0.745489,-0.036912,2.651994
-1.076945,1.605374,-0.742427,0.737929,-0.029727,2.588224
-1.033516,1.623122,-0.651831,0.726487,-0.022098,2.524454
-0.982245,1.635191,-0.551031,0.709431,-0.014803,2.460694
-0.921894,1.640301,-0.436867,0.684934,-0.008947,2.396950
-0.851588,1.637369,-0.306490,0.651309,-0.006161,2.333230
-0.771935,1.626814,-0.160574,0.608874,-0.007767,2.269564
-0.685538,1.610245,-0.001768,0.558708,-0.014040,2.205966
-0.597576,1.590922,0.164238,0.503241,-0.023302,2.142448
-0.514956,1.573481,0.328960,0.446267,-0.031639,2.079099
-0.443906,1.563498,0.480868,0.393625,-0.034984,2.016118
-0.386541,1.564166,0.612953,0.348937,-0.031415,1.953690
-0.341413,1.575966,0.723662,0.313062,-0.021388,1.891869
-0.305832,1.598016,0.814148,0.285521,-0.006512,1.830641
-0.277251,1.629015,0.886389,0.265455,0.011468,1.769988
-0.253656,1.667619,0.942473,0.251967,0.031074,1.709914
-0.233556,1.712559,0.984388,0.244221,0.051179,1.650429
-0.215873,1.762670,1.013973,0.241445,0.070966,1.591535
-0.199829,1.816902,1.032922,0.242935,0.089868,1.533224
-0.184870,1.874316,1.042792,0.248037,0.107510,1.475469
-0.170598,1.934077,1.045015,0.256135,0.123666,1.418237
-0.156731,1.995451,1.040913,0.266649,0.138213,1.361484
-0.143078,2.057852,1.031511,0.279162,0.151121,1.305162
-0.129536,2.120939,1.017215,0.293650,0.162439,1.249227
-0.116024,2.184387,0.998462,0.310038,0.172233,1.193647
-0.102479,2.247892,0.975724,0.328198,0.180583,1.138398
-0.088849,2.311169,0.949503,0.347958,0.187573,1.083458
-0.075088,2.373949,0.920333,0.369100,0.193290,1.028809
-0.061160,2.435979,0.888773,0.391371,0.197825,0.974434
-0.047085,2.497031,0.855387,0.414489,0.201308,0.920321
-0.032988,2.556904,0.820728,0.438162,0.203954,0.866469
-0.018976,2.615399,0.785380,0.462071,0.205942,0.812875
