# time omega_err_norm v_err_norm
2.600000 2.603342 1.489079
2.610000 2.643935 1.509505
2.620000 2.683585 1.533756
2.630000 2.720548 1.560595
2.640000 2.753621 1.588805
2.650000 2.782117 1.617322
2.660000 2.805762 1.645294
2.670000 2.824572 1.672087
2.680000 2.838749 1.697267
2.690000 2.848595 1.720556
2.700000 2.854457 1.741800
2.710000 2.856694 1.760930
2.720000 2.855647 1.777935
2.730000 2.851638 1.792842
2.740000 2.844958 1.805702
2.750000 2.835867 1.816582
2.760000 2.824510 1.825448
2.770000 2.810950 1.832232
2.780000 2.795272 1.836949
2.790000 2.777610 1.839687
2.800000 2.758116 1.840572
2.810000 2.736952 1.839749
2.820000 2.714271 1.837372
2.830000 2.690218 1.833596
2.840000 2.664927 1.828571
2.850000 2.638519 1.822445
2.860000 2.611104 1.815354
2.870000 2.582778 1.807425
2.880000 2.553631 1.798776
2.890000 2.523740 1.789512
2.900000 2.493175 1.779730
2.910000 2.462000 1.769516
2.920000 2.430271 1.758945
2.930000 2.398039 1.748086
2.940000 2.365351 1.736998
2.950000 2.332249 1.725735
2.960000 2.298773 1.714344
2.970000 2.264960 1.702865
2.980000 2.230848 1.691336
2.990000 2.196469 1.679789
3.000000 2.161859 1.668254
3.010000 2.127050 1.656757
3.020000 2.092078 1.645321
3.030000 2.056975 1.633969
3.040000 2.021777 1.622720
3.050000 1.986520 1.611593
3.060000 1.951240 1.600604
3.070000 1.915975 1.589770
3.080000 1.880765 1.579104
3.090000 1.845648 1.568619
3.100000 1.810666 1.558328
3.110000 1.775862 1.548241
3.120000 1.741277 1.538368
3.130000 1.706956 1.528716
3.140000 1.672942 1.519292
3.150000 1.639279 1.510100
3.160000 1.606011 1.501144
3.170000 1.573180 1.492424
3.180000 1.540828 1.483941
3.190000 1.508993 1.475691
3.200000 1.477707 1.467742
3.210000 1.447025 1.460159
3.220000 1.417025 1.452953
3.230000 1.387776 1.446114
3.240000 1.359335 1.439627
3.250000 1.331749 1.433480
3.260000 1.305056 1.427664
3.270000 1.279288 1.422181
3.280000 1.254466 1.417047
3.290000 1.230611 1.412301
3.300000 1.207735 1.408008
3.310000 1.185853 1.404259
3.320000 1.164990 1.401166
3.330000 1.145189 1.398820
3.340000 1.126525 1.397241
3.350000 1.109119 1.396314
3.360000 1.093127 1.395778
3.370000 1.078724 1.395296
3.380000 1.066079 1.394549
3.390000 1.055342 1.393292
3.400000 1.046634 1.391358
3.410000 1.040047 1.388640
3.420000 1.035648 1.385064
3.430000 1.033474 1.380582
3.440000 1.033537 1.375158
3.450000 1.035822 1.368803
3.460000 1.040286 1.361592
3.470000 1.046859 1.353626
3.480000 1.055450 1.345016
3.490000 1.065950 1.335884
3.500000 1.078240 1.326258
3.510000 1.092199 1.316176
3.520000 1.107705 1.305682
3.530000 1.124635 1.294826
3.540000 1.142871 1.283660
3.550000 1.162296 1.272235
3.560000 1.182795 1.260602
3.570000 1.204261 1.248811
3.580000 1.226590 1.236907
3.590000 1.249685 1.224931
3.600000 1.273452 1.212919
3.610000 1.297807 1.200905
3.620000 1.322670 1.188917
3.630000 1.347967 1.176979
3.640000 1.373632 1.165112
3.650000 1.399603 1.153331
3.660000 1.425823 1.141653
3.670000 1.452243 1.130088
3.680000 1.478818 1.118645
3.690000 1.505506 1.107477
3.700000 1.532265 1.096790
3.710000 1.559052 1.086762
3.720000 1.585819 1.077546
3.730000 1.612516 1.069263
3.740000 1.639090 1.062004
3.750000 1.665489 1.055834
3.760000 1.691662 1.050790
3.770000 1.717559 1.046888
3.780000 1.743132 1.044123
3.790000 1.768340 1.042472
3.800000 1.793142 1.041899
3.810000 1.817506 1.042358
3.820000 1.841403 1.043791
3.830000 1.864810 1.046134
3.840000 1.887710 1.049318
3.850000 1.910091 1.053270
3.860000 1.931948 1.057916
3.870000 1.953278 1.063182
3.880000 1.974086 1.068995
3.890000 1.994379 1.075285
3.900000 2.014169 1.081986
3.910000 2.033471 1.089039
3.920000 2.052303 1.096390
3.930000 2.070684 1.103993
3.940000 2.088636 1.111813
3.950000 2.106179 1.119821
3.960000 2.123337 1.127998
3.970000 2.140129 1.136334
3.980000 2.156578 1.144830
3.990000 2.172703 1.153493
4.000000 2.188520 1.162340
4.010000 2.204045 1.171395
4.020000 2.219290 1.180686
4.030000 2.234263 1.190226
4.040000 2.248964 1.199995
4.050000 2.263402 1.209978
4.060000 2.277593 1.220162
4.070000 2.291552 1.230536
4.080000 2.305296 1.241089
4.090000 2.318843 1.251808
4.100000 2.332217 1.262716
4.110000 2.345432 1.273832
4.120000 2.358496 1.285166
4.130000 2.371412 1.296719
4.140000 2.384180 1.308482
4.150000 2.396800 1.320462
4.160000 2.409270 1.332692
4.170000 2.421587 1.345203
4.180000 2.433744 1.358023
4.190000 2.445737 1.371175
4.200000 2.457558 1.384683
4.210000 2.469198 1.398562
4.220000 2.480650 1.412828
4.230000 2.491903 1.427487
4.240000 2.502949 1.442545
4.250000 2.513776 1.457998
4.260000 2.524375 1.473837
4.270000 2.534736 1.490047
4.280000 2.544849 1.506603
4.290000 2.554704 1.523473
4.300000 2.564291 1.540614
4.310000 2.573604 1.557974
4.320000 2.582635 1.575491
4.330000 2.591378 1.593088
4.340000 2.599830 1.610678
4.350000 2.607986 1.628160
4.360000 2.615847 1.645419
4.370000 2.623413 1.662323
4.380000 2.630688 1.678725
4.390000 2.637674 1.694460
4.400000 2.644379 1.709343
4.410000 2.650808 1.723165
4.420000 2.656969 1.735698
4.430000 2.662869 1.746693
4.440000 2.668518 1.755887
4.450000 2.673923 1.763024
4.460000 2.679094 1.767887
4.470000 2.684042 1.770346
4.480000 2.688787 1.770413
4.490000 2.693353 1.768274
4.500000 2.697780 1.764284
4.510000 2.702116 1.758926
4.520000 2.706424 1.752727
4.530000 2.710777 1.746194
4.540000 2.715253 1.739763
4.550000 2.719932 1.733787
4.560000 2.724893 1.728533
4.570000 2.730211 1.724194
4.580000 2.735952 1.720904
4.590000 2.742175 1.718746
4.600000 2.748930 1.717768
4.610000 2.756257 1.717986
4.620000 2.764189 1.719393
4.630000 2.772749 1.721963
4.640000 2.781955 1.725653
4.650000 2.791816 1.730410
4.660000 2.802336 1.736167
4.670000 2.813514 1.742822
4.680000 2.825346 1.750253
4.690000 2.837821 1.758339
4.700000 2.850926 1.766961
4.710000 2.864643 1.776004
4.720000 2.878952 1.785355
4.730000 2.893831 1.794906
4.740000 2.909257 1.804559
4.750000 2.925203 1.814226
4.760000 2.941645 1.823817
4.770000 2.958554 1.833245
4.780000 2.975904 1.842422
4.790000 2.993667 1.851267
4.800000 3.011817 1.859707
4.810000 3.030326 1.867679
4.820000 3.049167 1.875136
4.830000 3.068314 1.882048
4.840000 3.087740 1.888404
4.850000 3.107419 1.894213
4.860000 3.127325 1.899505
4.870000 3.135752 1.898946
4.880000 3.115466 1.884773
4.890000 3.095026 1.870293
4.900000 3.074458 1.855599
4.910000 3.053791 1.840783
4.920000 3.033053 1.825935
4.930000 3.012273 1.811140
4.940000 2.991480 1.796476
4.950000 2.970704 1.782014
4.960000 2.949975 1.767813
4.970000 2.929318 1.753935
4.980000 2.908756 1.740433
4.990000 2.888308 1.727354
5.000000 2.867992 1.714735
5.010000 2.847822 1.702608
5.020000 2.827812 1.690994
5.030000 2.807977 1.679906
5.040000 2.788329 1.669350
5.050000 2.768882 1.659318
5.060000 2.749649 1.649794
5.070000 2.730645 1.640745
5.080000 2.711890 1.632125
5.090000 2.693402 1.623868
5.100000 2.675206 1.615892
5.110000 2.657328 1.608097
5.120000 2.639796 1.600374
5.130000 2.622641 1.592608
5.140000 2.605889 1.584691
5.150000 2.589562 1.576531
5.160000 2.573676 1.568052
5.170000 2.558235 1.559193
5.180000 2.543240 1.549910
5.190000 2.528679 1.540166
5.200000 2.514540 1.529930
5.210000 2.500805 1.519173
5.220000 2.487454 1.507873
5.230000 2.474467 1.496007
5.240000 2.461823 1.483558
5.250000 2.449485 1.470614
5.260000 2.437395 1.457307
5.270000 2.425481 1.443760
5.280000 2.413668 1.430088
5.290000 2.401899 1.416304
5.300000 2.390140 1.402383
5.310000 2.378377 1.388316
5.320000 2.366603 1.374105
5.330000 2.354813 1.359755
5.340000 2.343006 1.345279
5.350000 2.331178 1.330690
5.360000 2.319325 1.316000
5.370000 2.307443 1.301223
5.380000 2.295527 1.286372
5.390000 2.283572 1.271457
5.400000 2.271572 1.256492
5.410000 2.259523 1.241485
5.420000 2.247421 1.226449
5.430000 2.235261 1.211396
5.440000 2.223041 1.196337
5.450000 2.210760 1.181288
5.460000 2.198416 1.166263
5.470000 2.186009 1.151281
5.480000 2.173541 1.136361
5.490000 2.161013 1.121523
5.500000 2.148428 1.106790
5.510000 2.135789 1.092185
